id	name	add_name	description	popup	set_ids	set_bonus_desc	set_extra_id	set_extra_desc	unk[0]	unk[1]	special_enchant_amount	special_enchant_desc
17	Wooden Arrow		An arrow made of wood. It is an arrow used for a no grade bow.	-1					0	0	0	
57	Adena			-1					0	0	0	
65	Red Potion			-1					0	0	0	
686	Chair		Chair	-1					0	0	0	
687	Darin's Letter		The love letter that Darin has written to Roxxy. Darin has asked you to deliver this letter to Gatekeeper Roxxy.	-1					0	0	0	
688	Roxxy's Kerchief		Roxxy's handkerchief. This is the reply that Roxxy has given to Darin's letter, and must be delivered to Darin.	-1					0	0	0	
689	Poetry Book		A poetry book treasured by Arujien. The book contains poems that he has written. Take this to Greenis.	-1					0	0	0	
690	Lyrics Book		The lyrics book of Herbien	-1					0	0	0	
691	Romance Novel		A romance novel	-1					0	0	0	
692	Arujien's Letter		Arujien's letter	-1					0	0	0	
693	Greenis's Letter		Greenis's letter, refusing Arujien's love. Take this to Arujien.	-1					0	0	0	
694	Ingredient List		A list of ingredients: 3 omen beast bloods, 2 mana seeker husks, 2 gargoyle horns	-1					0	0	0	
695	Omen Beast's Blood		The blood of an omen beast.	-1					0	0	0	
696	Mana Seeker's Husk		The husk of a mana seeker.	-1					0	0	0	
697	Gargoyle's Horn		The horn of a gargoyle.	-1					0	0	0	
698	Gilbert's List		A list of things to eliminate: orcs, hobgoblins, walking fungus	-1					0	0	0	
699	Orc's Nose		The nose of an orc.	-1					0	0	0	
700	Hobgoblin Amulet		The amulet of a hobgoblin.	-1					0	0	0	
701	Fungus Juice		The juice of a fungus.	-1					0	0	0	
702	Wolf Pelt		Gather forty wolf pelts and take them to Trader Lector of the weapons and armor shop.	-1					0	0	0	
703	Poison Sac		Poison sacs obtained from the dead giant spider. Take this to Priest Yohanes.	-1					0	0	0	
704	Fever Medicine		A medicine concocted by Priest Yohanes for the students who are ill with fever. Take this to Elias.	-1					0	0	0	
705	Orc's Amulet		An Orc feather amulet.	-1					0	0	0	
706	Basilisk's Claw		A basilisk's claw.	-1					0	0	0	
707	Spore Sac		A sac obtained from the spore fungus. Gather 10 of these and take them to Trader Vollodos.	-1					0	0	0	
708	Sylph Headband		A Sylph Headband	-1					0	0	0	
709	Leather Shirt			-1					0	0	0	
710	Hard Leather Shirt			-1					0	0	0	
711	Piece Bone Breastplate			-1					0	0	0	
712	Half Plate Armor			-1					0	0	0	
713	Leather Pants			-1					0	0	0	
714	Hard Leather Pants			-1					0	0	0	
715	Piece Bone Gaiters			-1					0	0	0	
716	Plate Gaiters			-1					0	0	0	
717	Leather Gloves			-1					0	0	0	
718	Hard Leather Gloves			-1					0	0	0	
719	Crafted Leather Gloves			-1					0	0	0	
720	Reinforced Gloves			-1					0	0	0	
721	Leather Boots			-1					0	0	0	
722	Hard Leather Boots			-1					0	0	0	
723	Crafted Leather Boots			-1					0	0	0	
724	Reinforced Boots			-1					0	0	0	
725	Healing Drug		A magical, liquid medicine that restores HP for a certain amount of time.	-1					0	0	0	
726	Mana Drug		A magical, liquid medicine that restores MP for a certain amount of time.	-1					0	0	0	
727	Healing Potion		A magical, liquid medicine that restores HP for a certain amount of time.	-1					0	0	0	
728	Mana Potion		A magical, liquid medicine that restores MP for a certain amount of time.	-1					0	0	0	
729	Scroll: Enchant Weapon (Grade A)		When enchanted, the P. Atk. of  A-Grade weapons such as sword/one-handed, blunt weapon/one-handed, dagger and spear etc. will increase by 4.  The P. Atk of  sword/two-handed, blunt weapon/two-handed, dualsword, and fist-fighting weapon/two-handed will increase by 5. The P. Atk. of bow weapons will increase by 8. The M. Atk. of all weapons will increase by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.	-1					0	0	0	
730	Scroll: Enchant Armor (Grade A)		Increases the P. Def. of an A-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.	-1					0	0	0	
731	Crystal Scroll: Enchant Weapon (Grade A)		A scroll of enchantment that empowers an A-Grade weapon.	-1					0	0	0	
732	Crystal Scroll: Enchant Armor (Grade A)		A scroll of enchantment that empowers an A-Grade armor.	-1					0	0	0	
733	Endeavor Potion		A magical, liquid medicine that increases willpower.	-1					0	0	0	
734	Haste Potion		A magical potion that increases movement speed	-1					0	0	0	
735	Potion of Alacrity		A magical potion that increases attack speed	-1					0	0	0	
736	Scroll of Escape		A scroll of enchantment that relocates you to the nearest village.	-1					0	0	0	
737	Scroll of Resurrection		A scroll of enchantment that resuscitates a dead person.	-1					0	0	0	
739	Broken Sword Handle		The handle portion of the sword of solidarity. Take this to Blacksmith Alltran.	-1					0	0	0	
740	Broken Blade Bottom		Take this, and the upper portion of the blade to Blacksmith Alltran.	-1					0	0	0	
741	Broken Blade Top		Take this, and the lower portion of the blade to Blacksmith Alltran.	-1					0	0	0	
742	Altran's Note		A letter requesting the handle of the sword from Roien. Take this to Grand Master Roien of Cedric's Training Hall.	-1					0	0	0	
